year,quarter,market,dur_stay,mode,purpose,Visits (000s),Spend (£m)
2014,1,5,0,1,3,6.605896056,0.568475328
2014,1,5,0,3,1,2.207759023,0.112638699
2014,1,5,0,3,3,4.031401038,0.19460565
2014,1,5,0,3,4,1.823642015,0.250750776
2014,1,5,0,2,1,10.75387982,0.576987577
2014,1,5,0,2,3,14.69834554,0.367589316
2014,1,5,0,2,2,0.913937986,0.067631409
2014,1,5,0,2,4,6.599136233,1.018966258
2014,1,5,3,1,1,4.338143945,1.403840959
2014,1,5,3,1,3,12.65211374,3.664692384
2014,1,5,3,1,2,4.251821041,0.445166547
2014,1,5,3,1,4,3.112470984,1.564149424
2014,1,5,3,3,1,13.40988511,2.654034983
2014,1,5,3,3,3,9.339331478,1.284804588
2014,1,5,3,3,2,3.946291789,0.229995035
2014,1,5,3,3,4,1.823642015,0
2014,1,5,3,2,1,41.70677319,11.8013754
2014,1,5,3,2,3,12.82097343,2.47933568
2014,1,5,3,2,2,13.79617441,2.907184474
2014,1,5,3,2,4,5.051826149,5.521354854
2014,1,5,7,1,1,1.727368951,0.537055507
2014,1,5,7,1,3,2.414525315,1.990905598
2014,1,5,7,1,2,1.315296993,0.082454454
2014,1,5,7,3,1,2.915845215,0.861079469
2014,1,5,7,3,3,1.204205036,1.093943879
2014,1,5,7,3,2,3.311836362,0.718984134
2014,1,5,7,2,1,7.755644709,5.348767914
2014,1,5,7,2,3,1.292869687,0.411369264
2014,1,5,7,2,2,5.856478661,2.455075238
2014,1,5,14,1,2,0.527040005,0.271425605
2014,1,5,14,3,2,0.400464594,0.12831451
2014,1,5,14,2,2,1.172943383,0.060446164
2014,1,5,15,1,3,0.426658005,1.243708014
2014,1,5,15,3,2,0.400464594,0.038532883
2014,1,5,15,2,3,2.585739374,11.21916199
2014,1,5,15,2,2,1.172317863,0.093828104
2014,1,1,0,1,1,1.587024957,0.076508475
2014,1,1,0,1,3,16.26368693,1.265831533
2014,1,1,0,1,2,1.863320947,0.149065673
2014,1,1,0,1,4,0.620546997,0.1954723
2014,1,1,0,3,1,16.17172259,0.487362165
2014,1,1,0,3,3,1.134709954,0.0113471
2014,1,1,0,3,2,1.020553946,0.01020554
2014,1,1,0,3,4,3.404129863,0.155455267
2014,1,1,0,2,1,29.85477573,1.90617483
2014,1,1,0,2,3,31.41676152,1.785335425
2014,1,1,0,2,2,1.526900053,0.038172498
2014,1,1,0,2,4,25.62783605,2.484954807
2014,1,1,3,1,1,42.35899574,14.85230948
2014,1,1,3,1,3,54.21250203,24.92957063
2014,1,1,3,1,2,30.52634966,13.45803499
2014,1,1,3,1,4,17.88951987,7.513957717
2014,1,1,3,3,1,33.00622082,7.367156036
2014,1,1,3,3,3,25.44701946,2.757293701
2014,1,1,3,3,2,13.08965099,1.585449852
2014,1,1,3,3,4,9.434283018,3.133770764
2014,1,1,3,2,1,152.6159431,42.24760911
2014,1,1,3,2,3,36.56024957,10.38008505
2014,1,1,3,2,2,50.33171314,7.048281685
2014,1,1,3,2,5,1.526900053,0.552737772
2014,1,1,3,2,4,14.50594985,5.692474551
2014,1,1,7,1,1,40.885528,15.01435059
2014,1,1,7,1,3,17.18763244,10.68288549
2014,1,1,7,1,2,47.86596777,14.4081741
2014,1,1,7,1,4,1.641159952,0.462920805
2014,1,1,7,3,1,28.05697644,8.219930619
2014,1,1,7,3,3,2.462373972,0.40282356
2014,1,1,7,3,2,15.20602524,2.502418295
2014,1,1,7,3,5,1.081764102,0.387090892
2014,1,1,7,2,1,134.2932427,48.86807274
2014,1,1,7,2,3,13.76790965,11.10993796
2014,1,1,7,2,2,39.54759204,9.749558878
2014,1,1,7,2,4,0.881114602,0.712646067
2014,1,1,14,1,1,3.970456302,6.46307799
2014,1,1,14,1,3,2.080114096,1.942836344
2014,1,1,14,1,2,19.11117721,4.237697585
2014,1,1,14,3,1,0.527292073,0.266407758
2014,1,1,14,3,2,15.82842791,9.539498918
2014,1,1,14,2,1,3.368627787,1.021174401
2014,1,1,14,2,2,20.46148574,6.921772158
2014,1,1,15,1,1,0.828604698,0.093695179
2014,1,1,15,1,3,3.884415418,2.441979891
2014,1,1,15,1,2,15.22277772,2.876724486
2014,1,1,15,1,5,2.051676035,7.041783035
2014,1,1,15,1,4,1.979913235,3.028993368
2014,1,1,15,3,1,3.438138247,0.685571419
2014,1,1,15,3,3,1.231186986,0.53709811
2014,1,1,15,3,2,16.50654507,7.971259594
2014,1,1,15,3,4,1.081764102,0
2014,1,1,15,2,1,3.995102346,0.902037382
2014,1,1,15,2,2,3.375607133,0.656736284
2014,1,1,15,2,5,3.053800106,7.329120159
2014,1,2,0,1,1,2.039553046,0.255850635
2014,1,2,0,1,3,26.33343595,2.196317701
2014,1,2,0,1,4,1.828047037,0.188084469
2014,1,2,0,3,1,1.823642015,0.076592965
2014,1,2,0,3,3,1.049735025,0
2014,1,2,0,3,2,0.911821008,0.010030031
2014,1,2,0,3,4,0.911821008,0.136773154
2014,1,2,0,2,1,0.456968993,0.068545349
2014,1,2,3,1,1,62.94546592,18.62523253
2014,1,2,3,1,3,91.31844902,36.69221196
2014,1,2,3,1,2,48.80195387,12.52132691
2014,1,2,3,1,4,16.77073026,4.5415788
2014,1,2,3,3,1,6.068134055,1.334199805
2014,1,2,3,3,3,8.20638907,0.443145001
2014,1,2,3,3,2,2.965110019,0.847933512
2014,1,2,3,3,5,0.911821008,0
2014,1,2,3,3,4,2.289110005,0.462499231
2014,1,2,3,2,1,4.805981189,0.859522112
2014,1,2,3,2,3,6.424656153,2.361700796
2014,1,2,3,2,2,2.250124037,0.300495727
2014,1,2,7,1,1,41.8769435,23.92595973
2014,1,2,7,1,3,16.47094317,13.02367285
2014,1,2,7,1,2,48.94954112,12.89274621
2014,1,2,7,1,5,1.132574975,0.376760453
2014,1,2,7,1,4,1.385204017,0.588428512
2014,1,2,7,3,1,12.3865869,6.005179524
2014,1,2,7,3,3,0.911821008,0.109418519
2014,1,2,7,3,2,10.99724913,2.452290325
2014,1,2,7,3,5,0.911821008,0.673835695
2014,1,2,7,2,1,2.352035075,1.019841678
2014,1,2,7,2,3,0.456968993,0.137547672
2014,1,2,7,2,2,4.567438185,0.763609655
2014,1,2,14,1,1,7.770395756,4.131379809
2014,1,2,14,1,3,4.147790909,6.785588471
2014,1,2,14,1,2,22.32532403,5.410022461
2014,1,2,14,1,5,0.861274004,0.829304695
2014,1,2,14,3,1,0.820088029,0.369859695
2014,1,2,14,3,3,0.911821008,0.183276027
2014,1,2,14,3,2,3.17664206,0.43270696
2014,1,2,14,2,1,0.456968993,0.22894147
2014,1,2,14,2,2,2.918217063,1.019903682
2014,1,2,15,1,1,0.504995227,0.762374759
2014,1,2,15,1,3,3.337502897,8.253857538
2014,1,2,15,1,2,8.660928071,4.27356813
2014,1,2,15,1,5,2.417179942,3.377109349
2014,1,2,15,3,3,1.141468003,0.964075834
2014,1,2,15,3,2,4.658230036,0.812983762
2014,1,2,15,3,5,0.911821008,0.516090691
2014,1,2,15,2,1,0.456968993,0
2014,1,2,15,2,3,0.456968993,0
2014,1,2,15,2,2,2.597880036,0.720957637
2014,1,9,0,1,3,1.587885976,0.116583401
2014,1,9,3,1,1,48.60630423,17.40447131
2014,1,9,3,1,3,36.83310163,15.97364508
2014,1,9,3,1,2,27.1937792,5.322224618
2014,1,9,3,1,4,8.365285665,2.850157848
2014,1,9,3,3,3,5.470925927,0.123095833
2014,1,9,7,1,1,76.40686128,34.35395184
2014,1,9,7,1,3,12.161641,6.796517003
2014,1,9,7,1,2,26.12766615,5.699122667
2014,1,9,7,1,5,2.002635181,1.304106355
2014,1,9,7,1,4,0.916185141,0.161600441
2014,1,9,7,3,3,1.823642015,0.02735463
2014,1,9,14,1,1,13.74795943,9.736464798
2014,1,9,14,1,3,3.046527952,3.167358175
2014,1,9,14,1,2,10.4072876,3.56886398
2014,1,9,14,1,5,1.269293666,1.052155584
2014,1,9,14,3,1,0.911821008,0.205159724
2014,1,9,14,3,2,2.343439102,0.785462797
2014,1,9,15,1,1,4.530264944,3.094449222
2014,1,9,15,1,3,2.836826533,6.647318333
